category,table,column,kind,dtype,m_data_type,m_unit,m_null_meaning,m_description,has_metadata,all_null,dtype_mismatch,n_rows,example,min,max,mean,median,mode,std,distinct,nulls,null_pct,zeros,negatives
CSD,facts,weighted_distribution,numeric,float64,double,fraction (0-1),,"Average WEEKLY percentage of total CATEGORY TURNOVER (value sales) accounted for by stores that sold the selected product, ACV-weighted (All Commodity Volume). Stored as a fraction 0-1. Example: 0.85 = stores carrying this product represent 85% of category sales. More meaningful than numeric distribution because it weights by store importance. NOT additive across products. ~16.7% of CSD fact rows are NULL (aggregate levels, cash-slip markets like Lidl, or new products mid-period).",True,False,False,10311342,1.0,3e-06,1.003,0.2403,0.0624,1,0.3227,"721,801","1,518,560",14.7,0,0
CSD,facts,weighted_distribution_reach,numeric,float64,double,fraction (0-1),,"Percentage of total category turnover accounted for by stores that sold the selected product at ANY point during the entire period, stored as a fraction 0-1. Reach version: any single sale in the period qualifies the store. Always >= weighted_distribution. NULL = not measured.",True,False,False,10311342,1.0,1.3e-05,1,0.2823,0.09807,1,0.3442,"764,795","1,519,079",14.7,0,0
CSD,facts,total_weighted_distribution_points_tdp_reach,numeric,float64,double,decimal (0+),,Total Distribution Points (TDP). Sum of weighted distribution across all items within a brand/product group that were sold at any point during the period (reach). Measures BREADTH of assortment weighted by store importance. Example: a brand with 5 SKUs each at 0.80 weighted-distribution-reach has TDP ~4.0. NOT a percentage and NOT bounded by 1 — do NOT multiply by 100. NULL = not measured.,True,False,False,10311342,36.7202,1.3e-05,269.2,1.521,0.1042,1,11.47,"1,200,645","1,519,035",14.7,0,0
CSD,facts,number_of_items_reach,numeric,float64,double,items,,"Number of distinct UPC items (SKUs) within the selected product group that were sold at any point during the period (reach). Measures assortment BREADTH. Only meaningful at aggregate product levels (brand, manufacturer); NULL at the UPC level.",True,False,False,10311342,650.0,0.4636,4.33e+05,582.7,22,1,6999,"504,753","1,471,010",14.3,0,0
CSD,facts,avg_number_of_stores_selling_reach,numeric,float64,double,stores,,Average number of stores in the universe that sold the product at any point during the period. Reach-based: a store counts if it sold at least once. Compare against universe_number_of_stores to derive % distribution.,True,False,False,10311342,18.0,0,3830,99.65,15.48,1,246.8,"353,965","633,558",6.1,"837,452",0
CSD,facts,universe_number_of_stores,numeric,float64,double,stores,,"Total number of physical stores in the selected market universe. Market-level attribute, NOT product-specific — same value for all products within a given market. NULL = not available for this market.",True,False,False,10311342,2726.75,1,4002,733,366,18,925.2,"1,926",0,0.0,0,0
CSD,facts,avg_no_of_items_per_store_reach,numeric,float64,double,items,,"Average number of items (SKUs) a brand/manufacturer/segment has per store, computed across stores that carry at least one item. Measures DEPTH of assortment per store.",True,False,False,10311342,36.1111,0.5258,266.9,2.16,1,1,10.07,"153,641","1,471,010",14.3,0,0
CSD,facts,weighted_distribution_any_promo,numeric,float64,double,fraction (0-1),,Percentage of category turnover (fraction 0-1) accounted for by stores that sold the product ON PROMOTION in the period. Subset of weighted_distribution. NULL = promo not tracked. Not applicable in Total Market incl Hard Discount.,True,False,False,10311342,0.6895,1.5e-05,1.009,0.2293,0.09178,1,0.2861,"285,583","8,832,076",85.7,0,0
CSD,facts,weighted_distribution_disp_feat,numeric,float64,double,fraction (0-1),,Percentage of category turnover (fraction 0-1) accounted for by stores that sold the product with BOTH display AND feature (in-store flyer/ad) simultaneously. The strongest promotional signal. NULL = not tracked.,True,False,False,10311342,0.1895,3.1e-05,1,0.1667,0.06079,1,0.2407,"109,388","9,940,931",96.4,0,0
CSD,facts,weighted_distribution_disp_w_o_feat,numeric,float64,double,fraction (0-1),,Percentage of category turnover (fraction 0-1) accounted for by stores that sold the product with display only (without accompanying feature advertising). NULL = not tracked.,True,False,False,10311342,0.3013,2.3e-05,1.001,0.1108,0.03923,1,0.1869,"202,877","9,193,734",89.2,0,0
CSD,facts,weighted_distribution_feat_w_o_disp,numeric,float64,double,fraction (0-1),,Percentage of category turnover (fraction 0-1) accounted for by stores that sold the product with feature/flyer only (without accompanying secondary display). NULL = not tracked.,True,False,False,10311342,0.3286,5.2e-05,1.006,0.2378,0.1445,1,0.2657,"136,576","9,869,768",95.7,0,0
CSD,facts,weighted_distribution_total_feat,numeric,float64,double,fraction (0-1),,Percentage of category turnover (fraction 0-1) accounted for by stores that promoted the product with any in-store FEATURE/FLYER (with or without accompanying display). NULL = not tracked.,True,False,False,10311342,0.3286,3.1e-05,1.006,0.2985,0.2113,1,0.2856,"129,065","9,865,540",95.7,0,0
CSD,facts,weighted_distribution_any_disp,numeric,float64,double,fraction (0-1),,"Percentage of category turnover (fraction 0-1) accounted for by stores that sold the product on ANY secondary display (endcap, floor stand, dump bin, pallet, etc.) in the period. NULL = display not tracked.",True,False,False,10311342,0.3995,2.3e-05,1.003,0.1367,0.04533,1,0.2164,"214,812","9,173,260",89.0,0,0
CSD,facts,weighted_distribution_any_tpr,numeric,float64,double,fraction (0-1),,Percentage of category turnover (fraction 0-1) accounted for by stores that sold the product on Temporary Price Reduction (TPR) in the period. TPR = any price cut from regular shelf price. Subset of promotional distribution. NULL = TPR not tracked.,True,False,False,10311342,0.6597,1.4e-05,1.007,0.1956,0.0675,1,0.2631,"250,654","9,012,443",87.4,0,0
CSD,dim_product,product_id,numeric,int64,string,N/A,not nullable,Foreign key to the Product dimension. Joins facts to product metadata. Never NULL.,True,False,True,2130,130714,1,130736,2.413e+04,7658,1,3.218e+04,"2,130",0,0.0,0,0
CSD,dim_product,category,text,object,string,N/A,,Top-level category label for this dataset: 'CSD' (Carbonated Soft Drinks). All rows in this dataset roll up to this category at hierarchy level 1.,True,False,False,2130,CSD,CSD,CSD,3.0 chars,3 chars,CSD,"2,130x",1,0,0.0,,
CSD,dim_product,manufacturer,text,object,string,N/A,,Manufacturer of the product as classified by Nielsen. One level below the corporation grouping in the standard Nielsen product hierarchy.,True,False,False,2130,MEGAFOOD APS,FAXE,TARGET CATEGORY SOLUTIONS LIMITED,11.7 chars,13 chars,COCA COLA A/S,508x,119,0,0.0,,
CSD,dim_product,brand,text,object,string,N/A,,Brand name as classified by Nielsen. The brand level sits below manufacturer and above sub-brand / variant in the product hierarchy.,True,False,False,2130,LEMONITA,THY,REINE DES LIMONADES,8.3 chars,9 chars,COCA COLA,242x,150,0,0.0,,
CSD,dim_product,ru_subbrand,text,object,string,N/A,,Royal Unibrew internal sub-brand grouping. RU-defined classification used for internal reporting; one level below brand.,True,False,False,2130,LEMONITA LEMON,7-UP,THE LONDON ESSENCE BITTER ORANGE & ELDERFLOWER TONIC,17.5 chars,16 chars,COCA COLA ZERO,115x,681,0,0.0,,
CSD,dim_product,ru_variant,text,object,string,N/A,,Royal Unibrew internal variant grouping. Below sub-brand in the RU-defined product hierarchy. Distinguishes flavour/format/recipe variants within a sub-brand.,True,False,False,2130,LEMONITA LEMON REG,THY,THE LONDON ESSENCE BITTER ORANGE & ELDERFLOWER TONIC REG,22.2 chars,22 chars,COCA COLA ZERO ORIGINAL,94x,745,0,0.0,,
CSD,dim_product,packaging,text,object,string,N/A,,"Packaging description for the product (e.g. 'CAN', 'PET', 'GLASS'). Captures the primary container type.",True,False,False,2130,DÅSE,DÅSE,ANDET EMBALLAGE,4.3 chars,4 chars,GLAS,731x,4,0,0.0,,
CSD,dim_product,size_variants,text,object,string,N/A,,"Product size variant description (e.g. '33CL', '50CL', '6X33CL'). Only populated at lower hierarchy levels (variant / packaging / UPC); NULL at aggregate levels like brand or manufacturer.",True,False,False,2130,33 CL,1 L,ANDRE FLASKESTØRRELSER,7.4 chars,5 chars,33 CL,689x,16,0,0.0,,
CSD,dim_product,units,text,object,string,N/A,,"Number of consumer units per multipack (e.g. '1', '6', '24'). Stored as text.",True,False,False,2130,1 STK,1 STK,24 STK,5.1 chars,5 chars,1 STK,"1,627x",13,0,0.0,,
CSD,dim_product,item_description,text,object,string,N/A,,"Item description — the canonical Nielsen item label, typically combining brand + variant + size + packaging.",True,False,False,2130,LEMONITA LEMON SODAVAND 33 CL,SPRITE 2 L,FRANKLIN & SONS PINK GRAPEFRUIT & BERGAMOT TONIC WATER 20 CL,29.7 chars,29 chars,COCA COLA ZERO DÅSE 24 STK 24*33 CL,13x,"1,520",0,0.0,,
CSD,dim_product,upc_code,text,object,string,N/A,,Universal Product Code / barcode of the SKU. Lowest level of the product hierarchy (one row per UPC).,True,False,False,2130,5706920102095,200082757711,5700002021281BP2,12.9 chars,13 chars,0000057045511,2x,"2,104",0,0.0,,
CSD,dim_product,type,text,object,string,N/A,,Product type classification within the category. Category-specific values; see the row's category context.,True,False,False,2130,LEMON/LIME,COLA,CITRUS/GRAPE,7.8 chars,8 chars,COLA,523x,8,0,0.0,,
CSD,dim_product,regular_light,text,object,string,N/A,,Sugar content classification: regular (full sugar) vs. light/diet/zero. CSD-specific.,True,False,False,2130,REGULAR,LIGHT,REGULAR,6.4 chars,7 chars,REGULAR,"1,527x",2,0,0.0,,
CSD,dim_product,price_category,text,object,string,N/A,,"Nielsen price tier classification (e.g. 'PREMIUM', 'STANDARD', 'ECONOMY'). Groups products by relative price positioning within the category.",True,False,False,2130,MÆRKEVARE,MÆRKEVARE,BILLIGVAND,9.2 chars,9 chars,MÆRKEVARE,"1,782x",2,0,0.0,,
CSD,dim_product,ru_cola_flavour,text,object,string,N/A,,"Royal Unibrew internal classification of cola flavor variants (e.g. 'REGULAR COLA', 'CHERRY COLA', 'VANILLA COLA'). RU-specific grouping for CSD analysis.",True,False,False,2130,NA,NA,NON FLAVOUR,4.0 chars,2 chars,NA,"1,603x",3,0,0.0,,
CSD,dim_product,organic,text,object,string,N/A,,Flag indicating whether the product is certified organic. Values are typically 'YES'/'NO' or category-specific labels.,True,False,False,2130,IKKE ØKOLOGISK,ØKOLOGISK,IKKE ØKOLOGISK,13.4 chars,14 chars,IKKE ØKOLOGISK,"1,888x",2,0,0.0,,
CSD,dim_product,private_label,text,object,string,N/A,,"Flag indicating whether the product is a retailer private label (e.g. Coop's 365, REMA 1000 own brand) versus a branded manufacturer product.",True,False,False,2130,NON PRIVATE LABEL,PRIVATE LABEL,NON PRIVATE LABEL,16.9 chars,17 chars,NON PRIVATE LABEL,"2,069x",2,0,0.0,,
CSD,dim_product,controlled_label,text,float64,string,N/A,,Flag indicating whether the product is a controlled label — a brand owned by a retailer but marketed under a distinct name (between private label and full national brand).,True,True,False,2130,,,,,,,,0,"2,130",100.0,,
CSD,dim_product,product_hierarchy_number,numeric,int64,string,N/A,NULL = hierarchy metadata not populated,Dedup key within a hierarchy level. At level 1 (category) there are typically multiple rows representing different total cuts of the category — ALWAYS filter to product_hierarchy_number = '1' for the canonical category total. At other levels typically '1'. Never NULL.,True,False,True,2130,1,1,1,1,1,1,0,1,0,0.0,0,0
CSD,dim_product,product_hierarchy_level,numeric,int64,string,N/A,NULL = hierarchy metadata not populated,"Depth level of the product in the hierarchy. Level 1 = category total, Level 2 = manufacturer/corporation, Level 3 = brand, ... Level 10 = individual UPC/SKU. CRITICAL for avoiding double-counting: never sum metrics across hierarchy levels. Never NULL.",True,False,True,2130,10,10,10,10,10,10,0,1,0,0.0,0,0
CSD,dim_product,product_hierarchy_level_name,text,object,string,N/A,NULL = hierarchy metadata not populated,"Human-readable name of the hierarchy level. Values vary by category: CSD uses 'CSD', 'MANUFACTURER', 'BRAND', 'RU SUBBRAND', 'RU VARIANT', 'UPC'. Beer uses similar labels. Use this column to filter to the desired aggregation level (e.g. WHERE product_hierarchy_level_name = 'BRAND'). Never NULL.",True,False,False,2130,UPC,UPC,UPC,3.0 chars,3 chars,UPC,"2,130x",1,0,0.0,,
CSD,dim_product,packaging_excluding_controlled_label,text,object,string,N/A,,Packaging classification computed with controlled-label products excluded. Useful for clean packaging-mix analysis on national brands only.,True,False,False,2130,1STK DÅSER,GLAS,MULTIPAK DÅSER (7+),9.4 chars,8 chars,GLAS,731x,7,0,0.0,,
CSD,dim_product,corporation_ru_1,text,object,string,N/A,,"Top-level corporate grouping. Groups brands under their parent corporation as defined by RU/Nielsen (e.g. groups 'PEPSI', 'FAXE KONDI' under 'PEPSI COLA INT.'). Same concept as corporation_ru (beer) and corporation_1 (energidrikke/RTD) — naming inconsistency to be standardized. NULL at aggregate levels.",True,False,False,2130,NA,NA,PRIVATE LABEL EKSKL. CL,13.4 chars,13 chars,ANDRE LEVERANDØRER,830x,8,0,0.0,,
CSD,dim_period,period_id,numeric,int64,string,N/A,not nullable,Foreign key to the Period dimension. Joins facts to period metadata. Never NULL.,True,False,True,46,43679,38797,46904,4.132e+04,4.069e+04,38797,2267,46,0,0.0,0,0
CSD,dim_period,period_short_description,text,object,string,N/A,,Nielsen's original short label for the period as delivered (e.g. 'Jan 26'). Raw value preserved from Nielsen delivery.,True,False,False,46,Jan 26 - 4 w/e 25/01/26,Jan 26 - 4 w/e 25/01/26,Jan 26 - 4 w/e 25/01/26,23.0 chars,23 chars,Apr 23 - 4 w/e 30/04/23,1x,46,0,0.0,,
CSD,dim_period,period_long_description,text,object,string,N/A,,Nielsen's original long label for the period as delivered. Human readable.,True,False,False,46,Jan 26 - 4 w/e 25/01/26,Jan 26 - 4 w/e 25/01/26,Jan 26 - 4 w/e 25/01/26,23.0 chars,23 chars,Apr 23 - 4 w/e 30/04/23,1x,46,0,0.0,,
CSD,dim_period,period_end_date,text,object,date,N/A,not nullable,The last calendar day of the measurement period. Nielsen Denmark uses monthly periods built on a 4-4-5 week pattern. Use this column for time-series ordering and chart axes.,True,False,False,46,2026-01-25,2026-01-25,2026-01-25,10.0 chars,10 chars,2022-10-30,1x,46,0,0.0,,
CSD,dim_period,nielsen_calendar,text,object,string,N/A,,Nielsen calendar identifier (e.g. monthly calendar). Indicates which Nielsen periodicity calendar this period belongs to.,True,False,False,46,12F_445,12F_445,12F_445,7.0 chars,7 chars,12F_445,46x,1,0,0.0,,
CSD,dim_period,nielsen_periodicity,text,object,string,N/A,,Periodicity label / display folder used by Nielsen to group periods (e.g. monthly). Used for organizing periods in delivery folders.,True,False,False,46,Months,Months,Months,6.0 chars,6 chars,Months,46x,1,0,0.0,,
CSD,dim_period,period_year,numeric,int64,int,years,not nullable,"Calendar year (integer, e.g. 2026) when the CSD facts row was generated. Derived from period_end_date.",True,False,False,46,2026,2022,2026,2024,2024,2023,1.18,5,0,0.0,0,0
CSD,dim_period,period_month,numeric,int64,int,months,not nullable,Calendar month number 1-12 when the CSD facts row was generated.,True,False,False,46,1,1,12,6.413,6,1,3.538,12,0,0.0,0,0
CSD,dim_period,date_key,text,object,string,N/A,not nullable,Combination of month and year as a single label (e.g. 'January 2026') for the CSD facts row.,True,False,False,46,January 2026,May 2026,September 2025,11.1 chars,12 chars,April 2023,1x,46,0,0.0,,
CSD,dim_market,market_id,numeric,int64,string,N/A,not nullable,Foreign key to the Market dimension. Joins facts to market metadata. Never NULL.,True,False,True,86,2195816,1255956,2195818,1.422e+06,1262121,1255956,2.468e+05,86,0,0.0,0,0
CSD,dim_market,market_description,text,object,string,N/A,,"Human-readable name of the Nielsen market (retail chain, channel, or aggregate universe), e.g. 'DVH INCL. HD', 'COOP DK', 'Lidl'. Used for display and filtering.",True,False,False,86,FØTEX FOOD,Q8,DVH EXCL. HD - REGION 2: ZEALAND EXCL. CAPITAL AREA,23.0 chars,20 chars,7-ELEVEN,1x,86,0,0.0,,
CSD,dim_market,market_hierarchy_level,text,float64,string,N/A,NULL = hierarchy metadata not populated,Depth level of this market in Nielsen's Denmark retail hierarchy tree. Level 1 = top aggregate (e.g. DVH INCL. HD); higher numbers = more granular (individual chains/banners). Used to define parent-child relationships between markets. NOTE: currently observed to be NULL across the data — this is a known issue under investigation.,True,True,False,86,,,,,,,,0,86,100.0,,
CSD,dim_market,market_hierarchy_number,text,float64,string,N/A,NULL = hierarchy metadata not populated,Numeric identifier for the market's position within its hierarchy level. Combined with market_hierarchy_level to define the market tree. NOTE: currently observed NULL — known issue under investigation.,True,True,False,86,,,,,,,,0,86,100.0,,
CSD,dim_market,market_hierarchy_name,text,float64,string,N/A,NULL = hierarchy metadata not populated,"Human-readable name of the hierarchy level (e.g. 'Total Grocery', 'Retail Chain', 'Channel'). NOTE: currently observed NULL — known issue under investigation.",True,True,False,86,,,,,,,,0,86,100.0,,
CSD,dim_market,market_hierarchy_column,text,float64,string,N/A,NULL = hierarchy metadata not populated,"Internal Nielsen reference indicating which hierarchy column this market belongs to. Technical metadata, not for end-user display. NOTE: currently observed NULL — known issue under investigation.",True,True,False,86,,,,,,,,0,86,100.0,,
Danskvand,facts,market_id,numeric,int64,string,N/A,not nullable,Foreign key to the Market dimension. Joins facts to market metadata. Never NULL.,True,False,True,1382673,1256452,1255956,2195818,1.408e+06,1262120,1262102,2.139e+05,86,0,0.0,0,0
Danskvand,facts,period_id,numeric,int64,string,N/A,not nullable,Foreign key to the Period dimension. Joins facts to period metadata. Never NULL.,True,False,True,1382673,46612,39522,46904,4.16e+04,40697,40205,2187,41,0,0.0,0,0
Danskvand,facts,product_id,numeric,int64,string,N/A,not nullable,Foreign key to the Product dimension. Joins facts to product metadata. Never NULL.,True,False,True,1382673,83383,1,84871,1.576e+04,1422,1187,2.892e+04,"2,308",0,0.0,0,0
Danskvand,facts,sales_value,numeric,float64,double,DKK,,Total sales out of store expressed in Danish Krone (DKK). Consumer retail price including VAT (point-of-sale scanner data). This is the TOTAL — promo + non-promo combined. NULL = no data for this market/product/period combination.,True,False,False,1382673,25.9,-1.307e+04,1.209e+08,8.574e+05,9322,0,4.286e+06,"485,904",0,0.0,"42,306",818
Danskvand,facts,sales_in_liters,numeric,float64,double,liters,,Total sales out of store expressed in litres. Includes both promo and non-promo volume. NULL = no data for this combination.,True,False,False,1382673,2.5,-282.1,1.913e+07,1.441e+05,625,0,7.96e+05,"320,474",0,0.0,"42,357",776
Danskvand,facts,sales_units,numeric,float64,double,units,,Total sales out of store expressed in consumer purchase units (individual packs / bottles / cans as scanned at checkout). Includes both promo and non-promo. NULL = no data.,True,False,False,1382673,2.0,-855,1.862e+07,1.401e+05,687.3,0,7.882e+05,"274,086",0,0.0,"42,360",776
Danskvand,facts,numeric_distribution,numeric,float64,double,fraction (0-1),,"Average WEEKLY percentage of stores where the product was sold for the chosen period, stored as a fraction 0-1 (multiply by 100 for %). Measures physical availability regardless of store size. Example: 0.45 means the product was sold in 45% of stores on average per week. NULL = not measured (e.g. aggregate product hierarchy levels, or cash-slip markets like Lidl).",True,False,False,1382673,0.0043,5.2e-05,1,0.2808,0.07609,1,0.3639,"241,956","133,659",9.7,0,0
Danskvand,facts,numeric_distribution_reach,numeric,float64,double,fraction (0-1),,"Percentage of stores that sold the selected product at ANY point during the entire selected period (not weekly average), stored as a fraction 0-1. Higher than numeric_distribution because a store only needs to sell once in the period to count. NULL = not measured.",True,False,False,1382673,0.0086,0,1,0.3061,0.1064,1,0.3709,"211,482","95,676",6.9,"37,983",0
Danskvand,facts,weighted_distribution,numeric,float64,double,fraction (0-1),,"Average WEEKLY percentage of total CATEGORY TURNOVER (value sales) accounted for by stores that sold the selected product, ACV-weighted (All Commodity Volume). Stored as a fraction 0-1. Example: 0.85 = stores carrying this product represent 85% of category sales. More meaningful than numeric distribution because it weights by store importance. NOT additive across products. ~16.7% of CSD fact rows are NULL (aggregate levels, cash-slip markets like Lidl, or new products mid-period).",True,False,False,1382673,0.003,0,1.003,0.3108,0.1131,1,0.37,"313,720","133,659",9.7,2,0
Danskvand,facts,weighted_distribution_reach,numeric,float64,double,fraction (0-1),,"Percentage of total category turnover accounted for by stores that sold the selected product at ANY point during the entire period, stored as a fraction 0-1. Reach version: any single sale in the period qualifies the store. Always >= weighted_distribution. NULL = not measured.",True,False,False,1382673,0.0055,0,1,0.3443,0.1614,1,0.3757,"318,779","133,796",9.7,2,0
Danskvand,facts,total_weighted_distribution_points_tdp_reach,numeric,float64,double,decimal (0+),,Total Distribution Points (TDP). Sum of weighted distribution across all items within a brand/product group that were sold at any point during the period (reach). Measures BREADTH of assortment weighted by store importance. Example: a brand with 5 SKUs each at 0.80 weighted-distribution-reach has TDP ~4.0. NOT a percentage and NOT bounded by 1 — do NOT multiply by 100. NULL = not measured.,True,False,False,1382673,0.0055,0,83.7,2.87,0.1736,1,8.319,"426,671","133,740",9.7,2,0
Danskvand,facts,number_of_items_reach,numeric,float64,double,items,,"Number of distinct UPC items (SKUs) within the selected product group that were sold at any point during the period (reach). Measures assortment BREADTH. Only meaningful at aggregate product levels (brand, manufacturer); NULL at the UPC level.",True,False,False,1382673,1.0,0.4636,9.657e+04,1032,36,1,4801,"147,360","126,075",9.1,0,0
Danskvand,facts,avg_number_of_stores_selling_reach,numeric,float64,double,stores,,Average number of stores in the universe that sold the product at any point during the period. Reach-based: a store counts if it sold at least once. Compare against universe_number_of_stores to derive % distribution.,True,False,False,1382673,1.0,0,3831,131,26.72,1,303.6,"108,043","87,786",6.3,"38,289",0
Danskvand,facts,universe_number_of_stores,numeric,float64,double,stores,,"Total number of physical stores in the selected market universe. Market-level attribute, NOT product-specific — same value for all products within a given market. NULL = not available for this market.",True,False,False,1382673,116.0,1,4002,713.2,361,18,923.8,"1,752",0,0.0,0,0
Danskvand,facts,avg_no_of_items_per_store_reach,numeric,float64,double,items,,"Average number of items (SKUs) a brand/manufacturer/segment has per store, computed across stores that carry at least one item. Measures DEPTH of assortment per store.",True,False,False,1382673,1.0,0.7595,82.89,3.283,1,1,7.096,"88,188","126,075",9.1,0,0
Danskvand,dim_product,product_id,numeric,int64,string,N/A,not nullable,Foreign key to the Product dimension. Joins facts to product metadata. Never NULL.,True,False,True,1071,995,2,84871,4.199e+04,28108,2,3.873e+04,"1,071",0,0.0,0,0
