Paper Title,Authors,Keywords,Relevance Score (1-10),Tier,Stars,Relevance for Thesis,Research Angle(s),link
Hybrid AI and LLM-Enabled Agent-Based Real-Time Decision Support Architecture for Industrial Batch Processes,,,10,1 - Core Essential,★★★★★,Essential,Multi-Indicator + LLM/Agent,Hybrid AI and LLM-Enabled Agent-Based Real-Time Decision Support Architecture for Industrial Batch Processes: A Clean-in-Place Case Study
Neuro-Symbolic AI in 2024: A Systematic Review,,neuro-symbolic AI,9,1 - Core Essential,★★★★☆,Essential,LLM + ML Integration,https://arxiv.org/abs/2501.05435
SciAgent: Tool-augmented Language Models for Scientific Reasoning,,tool-augmented language models,8,1 - Core Essential,★★★★☆,Essential,LLM/Agent Requirements,https://arxiv.org/abs/2402.11451
AutoFlow: Automated Workflow Generation for Large Language Model Agents,,LLM workflow optimization,8,2 - High Relevance,★★★★☆,High,LLM/Agent Requirements,https://arxiv.org/abs/2407.12821
A Dynamic LLM-Powered Agent Network for Task-Oriented Agent Collaboration,,LLM agents,7,2 - High Relevance,★★★☆☆,High,LLM/Agent Requirements,https://arxiv.org/abs/2310.02170
HYBRID AI MODELS: INTEGRATING SYMBOLIC REASONING WITH DEEP LEARNING FOR COMPLEX DECISIONMAKI,,AI reasoning and prediction integration,9,1 - Core Essential,★★★★☆,Essential,All Angles,https://www.researchgate.net/profile/Aditya-Mehra-10/publication/393177685_HYBRID_AI_MODELS_INTEGRATING_SYMBOLIC_REASONING_WITH_DEEP_LEARNING_FOR_COMPLEX_DECISION-_MAKING/links/6862f584e9b6c
Value of Machine Learning and Predictive Modeling in Business Decision-Making,,machine learning in business decision-making,8,1 - Core Essential,★★★★☆,Essential,Prediction Quality,https://pinnaclepubs.com/index.php/EJBEM/article/view/103
On Accelerating Edge AI: Optimizing Resource-Constrained Environments,,computationally constrained AI,9,1 - Core Essential,★★★★☆,Essential,Cloud Code Execution,https://arxiv.org/abs/2501.15014
Memory-Efficient WebAssembly Containers                                                                                                                                                                                               ,,,,,,,,https://www.msjansen.com/assets/pdf/education/2024-mkozub-msc_thesis.pdf?utm_source=chatgpt.com   
ScoreFlow: Mastering LLM Agent Workflows via Score-based Preference Optimization,,LLM workflow optimization,7,2 - High Relevance,★★★☆☆,High,LLM/Agent Requirements,https://arxiv.org/abs/2502.04306
Toolformer: Language Models Can Teach Themselves to Use Tools,,tool use in large language models,10,1 - Core Essential,★★★★★,Essential,LLM/Agent Requirements,https://proceedings.neurips.cc/paper_files/paper/2023/hash/d842425e4bf79ba039352da0f658a906-Abstract-Conference.html_RE
