category,ensemble,confidence,tier,llm_rec,baseline_rec
CSD,23873.4,48.8,Moderate,"**Recommendation:** Plan for a wide forecast range of **3,424–166,392 units** (point estimate 23,873) over the next month, but treat this with caution given the **Moderate confidence (49/100)** driven by weak inter-model agreement (0.61) — models are diverging significantly, likely reflecting high demand volatility or structural uncertainty in the CSD category. ⚠️ **Flag:** The extreme width of the 90% interval (nearly 50x spread) warrants holding lean initial inventory with flexible replenishment triggers rather than committing to a fixed stock position; escalate to review any known demand drivers (promotions, seasonality, distribution changes) that may be causing model disagreement before finalizing the order plan.",Forecast for CSD: 23873 units (90% range 3424–166392); model confidence 49% (Moderate).
CSD,4239.6,52.2,Moderate,"**Recommendation:** Plan for a forecast range of **607–29,548 units** (point estimate: 4,240) over the next month, but treat this with caution — confidence is **Moderate (52/100)**, driven by weak inter-model agreement (0.72) and an exceptionally wide prediction interval that signals high demand volatility or data instability in the CSD category. Avoid heavy inventory commitments; instead, prioritize flexible replenishment arrangements and set a conservative initial stock position closer to the lower-mid range while maintaining supplier agility to scale up if early-month sell-through signals accelerate. **Flag for review:** the interval width (~29K units) is unusually large and warrants a data quality and model input audit before acting on this forecast.",Forecast for CSD: 4240 units (90% range 607–29548); model confidence 52% (Moderate).
CSD,683.7,38.1,Low,"**Recommendation:** The ensemble forecast for CSD over the next month is **684 units, with a 90% prediction interval of 97–4,764 units** — an extremely wide range signaling very high uncertainty. **Confidence is Low (38/100)** due to poor inter-model agreement (0.25), meaning the underlying models are producing substantially divergent predictions and the point estimate should not be relied upon for planning. **Flag for review:** Avoid committing to large inventory positions; consider a conservative initial order closer to the lower bound with a replenishment trigger in place, and investigate whether data quality issues, recent demand anomalies, or missing signals are driving model disagreement before acting on this forecast.",Forecast for CSD: 684 units (90% range 97–4764); model confidence 38% (Low).
CSD,2230.3,39.1,Low,"**Recommendation:** The ensemble forecast for CSD over the next month is **2,230 units**, but the 90% prediction interval spans an extremely wide range of **319 to 15,544 units**, signaling severe model disagreement (inter-model agreement: 0.28). Confidence is **Low (39/100)** — this forecast should not be used to drive procurement or inventory decisions without first investigating the root cause of model divergence (e.g., missing promotions data, seasonality conflicts, or data quality issues). **Flag for review before acting:** consider supplementing with bottom-up demand signals or category manager judgment until model alignment improves.",Forecast for CSD: 2230 units (90% range 319–15544); model confidence 39% (Low).
CSD,510574.5,56.1,Moderate,"**Recommendation:**
Plan for a forecast range of **73,254 – 3,558,611 units** (point estimate: 510,574) with **Low-to-Moderate confidence** — despite reasonable inter-model agreement (0.85), the extremely wide 90% interval (nearly 49x spread) signals high underlying demand volatility or data quality issues that undermine the 56/100 confidence score. **Flag for review before committing inventory:** validate input data integrity and investigate whether promotional events, distribution changes, or outlier history are driving the interval width before using this forecast for procurement or supply planning decisions.",Forecast for CSD: 510574 units (90% range 73254–3558611); model confidence 56% (Moderate).
CSD,139.2,30.6,Low,"**Recommendation:** The ensemble forecast for CSD over the next month is **139 units, with a 90% prediction interval of 19–969 units** — an extremely wide range spanning nearly 950 units. **Confidence is Low (31/100)** due to zero inter-model agreement, meaning the underlying models are producing fundamentally divergent predictions and the point estimate should not be relied upon for ordering or inventory decisions. **Flag for review:** Do not act on this forecast without first investigating the cause of model disagreement (e.g., data quality issues, anomalous inputs, or structural demand shifts) and supplementing with manual judgment or additional demand signals.",Forecast for CSD: 139 units (90% range 19–969); model confidence 31% (Low).
CSD,33854.8,58.1,Moderate,"**Forecast Range:** 4,856 – 235,961 units (point estimate: 33,855) | **Confidence: LOW** (overriding stated Moderate)

Plan to a base of ~34K units but treat this forecast with caution: despite strong inter-model agreement (0.92), the extreme width of the 90% interval (~231K unit spread) signals high underlying demand volatility or a data anomaly that the ensemble cannot resolve. **Flag for review** — validate inputs for outliers, promotional events, or distribution anomalies before committing to inventory or supply chain decisions.",Forecast for CSD: 33855 units (90% range 4856–235961); model confidence 58% (Moderate).
CSD,2432302.6,45.9,Moderate,"**Recommendation:** Plan for a forecast range of **348,975 to 16,952,710 units** (point estimate: ~2.4M) for CSD over the next month, but treat this with caution. **Confidence is Moderate (46/100)** due to weak inter-model agreement (0.51), and the extremely wide 90% interval — spanning nearly 50x from lower to upper bound — signals high underlying uncertainty that makes inventory commitment risky. Recommend a conservative initial buy closer to the lower-mid range with flexible replenishment triggers in place, and flag this category for additional demand signal review (e.g., promotional calendar, distribution changes) before finalizing orders.",Forecast for CSD: 2432303 units (90% range 348975–16952710); model confidence 46% (Moderate).
RTD,2583.1,39.8,Low,"**Recommendation:** The ensemble forecast for RTD over the next month is **2,583 units**, but the 90% prediction interval spans an extremely wide range of **322 to 20,668 units**, signaling very high demand uncertainty. Confidence is **Low (40/100)** due to poor inter-model agreement (0.46), meaning the underlying models are diverging significantly — treat the point forecast with caution. ⚠️ **Flag:** Avoid large inventory commitments at this time; consider a conservative initial stock position closer to the lower bound with a pre-agreed replenishment trigger, and investigate the source of model disagreement (e.g., missing promotions, seasonality shifts, or data quality issues) before acting.",Forecast for RTD: 2583 units (90% range 322–20668); model confidence 40% (Low).
RTD,269.2,46.1,Moderate,"**Recommendation:** Plan for a central forecast of **269 units**, but the extremely wide 90% confidence interval (**33–2,153 units**) signals highly unstable demand patterns that make precise inventory positioning very risky. Confidence is **Moderate (46/100)** due to weak inter-model agreement (0.68), meaning the models are not converging on a consistent demand signal — flag this category for manual review before committing to a replenishment order. Consider a conservative initial buy closer to the lower range with a rapid-replenishment contingency in place to avoid both stockout and overstock exposure.",Forecast for RTD: 269 units (90% range 33–2153); model confidence 46% (Moderate).
RTD,133798.3,35.7,Low,"**Forecast Range: 16,720 – 1,070,615 units | Confidence: LOW (36/100)**

Do not use this forecast to drive procurement or inventory decisions without further investigation — the 90% interval spans over a million units, and inter-model agreement of 0.33 indicates the underlying models are producing fundamentally divergent signals for this RTD category. Immediate action should focus on diagnosing the root cause of model disagreement (e.g., missing promotional data, distribution changes, or data quality issues) before any operational commitment is made. **Flag for manual review and stakeholder alignment prior to the next planning cycle.**",Forecast for RTD: 133798 units (90% range 16720–1070615); model confidence 36% (Low).
RTD,1139.1,48.8,Moderate,"**Recommendation:** The ensemble forecast projects **1,139 units** for RTD over the next month, but the extremely wide 90% confidence interval (**141 – 9,114 units**) signals high demand uncertainty — plan inventory conservatively and maintain flexible replenishment options rather than committing to a fixed stock position. Confidence is rated **Moderate (49/100)**, driven by reasonable inter-model agreement (0.76) offset by the massive forecast spread, which likely reflects high demand volatility or sparse historical data for this category. **Flag for review:** the interval width (~9,000 units) renders the point forecast operationally unreliable — recommend investigating root causes (e.g., new SKU, seasonal spikes, data gaps) before making significant procurement commitments.",Forecast for RTD: 1139 units (90% range 141–9114); model confidence 49% (Moderate).
RTD,1813.2,47.9,Moderate,"**Recommendation:** The ensemble forecast projects **1,813 units** for RTD over the next month, but the extremely wide 90% interval (**226 – 14,508 units**) signals very high demand uncertainty — plan inventory conservatively and maintain flexible replenishment options rather than committing to a fixed stock position. Confidence is rated **Moderate (48/100)** due to reasonable inter-model agreement (0.73), but the interval spread suggests underlying volatility or structural uncertainty the models cannot resolve. ⚠️ **Flag:** The 64x range between lower and upper bounds warrants a manual review of recent demand drivers (e.g., promotions, distribution changes, or data anomalies) before acting on this forecast.",Forecast for RTD: 1813 units (90% range 226–14508); model confidence 48% (Moderate).
RTD,61.3,25.9,Low,"**Recommendation:** The ensemble forecast of 61 units carries **Low confidence** (26/100) due to zero inter-model agreement, with an extremely wide 90% interval of 7–489 units — rendering the point estimate unreliable for planning purposes. **Flag for review:** do not use this forecast to drive replenishment or inventory decisions without first investigating the root cause of model disagreement (e.g., data quality issues, structural demand shifts, or insufficient history for RTD). Recommend holding a conservative stock position toward the lower range while escalating for manual review or additional demand signal validation before committing to orders.",Forecast for RTD: 61 units (90% range 7–489); model confidence 26% (Low).
RTD,4124.4,40.5,Moderate,"**Recommendation:** Plan for a wide forecast range of **514 to 33,001 units** (point estimate: 4,124), but treat this with **Low-to-Moderate confidence** — the 40/100 score and poor inter-model agreement (0.49) indicate the models are significantly misaligned, likely reflecting high demand volatility or insufficient signal quality for RTD this month. Avoid heavy inventory commitment; instead, prioritize flexible supply arrangements and set a conservative initial stock position closer to the lower bound while securing contingency capacity to respond if demand trends upward. **Flag for review:** the extreme interval width (~64x lower to upper) warrants a manual sense-check against any known promotional activity, distribution changes, or seasonality factors before finalizing the order plan.",Forecast for RTD: 4124 units (90% range 514–33001); model confidence 40% (Moderate).
danskvand,3913.4,43.8,Moderate,"**Forecast Range: 459 – 33,262 units | Confidence: LOW**

The ensemble points to ~3,913 units for danskvand over the next month, but the extremely wide 90% interval (459 to 33,262 units) and low inter-model agreement (0.48) render this estimate unreliable for precise ordering decisions. Confidence is rated **Low** despite the moderate score, as the interval spans nearly 70x between floor and ceiling — flag this for manual review and consider holding a conservative safety stock closer to the lower bound while investigating the root cause of model disagreement (e.g., seasonality shifts, data gaps, or promotional uncertainty).",Forecast for danskvand: 3913 units (90% range 459–33262); model confidence 44% (Moderate).
danskvand,116.9,34.0,Low,"**Forecast Range:** 13–993 units | **Confidence: LOW**

The ensemble model projects approximately 117 units of danskvand over the next month, but the extremely wide 90% interval (13–993 units) and near-zero inter-model agreement (0.15) indicate the models are fundamentally misaligned — this forecast should **not** be used for procurement decisions without further investigation. Recommend auditing input data quality, checking for missing demand signals or data anomalies, and applying manual judgment or historical baselines until model reliability improves.",Forecast for danskvand: 117 units (90% range 13–993); model confidence 34% (Low).
danskvand,141.9,34.7,Low,"**Recommendation:**
The ensemble forecast for danskvand over the next month is **142 units**, but the 90% prediction interval is extremely wide (**16–1,205 units**), and confidence is **Low (35/100)** due to very poor inter-model agreement (0.18) — treat the point estimate as unreliable. **Flag for review:** do not base procurement or inventory decisions on this forecast alone; prioritize gathering additional demand signals (e.g., promotional plans, historical seasonality, POS trends) and re-running the model before committing to orders.",Forecast for danskvand: 142 units (90% range 16–1205); model confidence 35% (Low).
danskvand,37.9,29.4,Low,"**Recommendation:** The ensemble forecast points to **38 units**, but the 90% prediction interval spans an extremely wide **4–322 units**, and confidence is **Low (29/100)** driven by zero inter-model agreement — models are fundamentally misaligned on this category's trajectory. **Do not rely on the point forecast for ordering decisions**; instead, consider a conservative base stock closer to the lower bound while maintaining flexible replenishment options, and prioritize gathering additional demand signals (e.g., promotional plans, seasonality drivers) before committing to volume.",Forecast for danskvand: 38 units (90% range 4–322); model confidence 29% (Low).
danskvand,151.0,33.9,Low,"**Confidence: Low** — Extreme model disagreement (inter-model agreement: 0.15) produces an implausibly wide forecast range of **17 to 1,282 units** around a point estimate of 151, rendering the ensemble unreliable for procurement decisions. Do not use this forecast for ordering without first investigating root causes (e.g., data quality issues, structural breaks, or missing demand signals for danskvand). **Action: Flag for manual review and supplementary analysis before committing to any stock position.**",Forecast for danskvand: 151 units (90% range 17–1282); model confidence 34% (Low).
danskvand,9477.0,49.2,Moderate,"**Forecast Range:** 1,114 – 80,553 units (point estimate: 9,477) | **Confidence: Low** — despite a moderate inter-model agreement score of 0.66, the 90% prediction interval spans nearly 80x the lower bound, indicating extreme uncertainty that overrides the headline confidence rating. ⚠️ **Flag:** Do not commit to large fixed orders; recommend a phased procurement approach — secure a conservative base stock near the lower range (~5,000–10,000 units) with supplier flexibility or call-off options to scale up if early-month sell-through signals warrant it.",Forecast for danskvand: 9477 units (90% range 1114–80553); model confidence 49% (Moderate).
danskvand,146.4,36.8,Low,"**Recommendation:** The ensemble forecast for danskvand over the next month is **146 units**, but the 90% prediction interval is extremely wide (**16–1,244 units**), indicating very high uncertainty. Confidence is **Low (37/100)** due to poor inter-model agreement (0.25), meaning the underlying models diverge substantially and the point estimate should not be relied upon for procurement decisions. **Flag for review:** avoid committing to large stock positions — consider a conservative initial order closer to the lower bound with a replenishment trigger, and investigate whether data quality issues or structural demand shifts are driving model disagreement before acting on this forecast.",Forecast for danskvand: 146 units (90% range 16–1244); model confidence 37% (Low).
danskvand,11015.6,29.4,Low,"**Forecast Range:** 1,295 – 93,632 units (point estimate: 11,016) | **Confidence: LOW (29/100)**

The extremely wide forecast interval and zero inter-model agreement indicate the models are providing essentially no reliable signal for danskvand over the next month — do not use this forecast for procurement or inventory decisions without further investigation. Recommend auditing input data quality (missing values, outliers, or data pipeline issues) and supplementing with manual judgment or historical baselines before acting.",Forecast for danskvand: 11016 units (90% range 1295–93632); model confidence 29% (Low).
danskvand,21658.1,42.7,Moderate,"**Forecast Range:** 2,547 – 184,093 units (point estimate: 21,658) | **Confidence: Low** — despite a Moderate calibration score (43/100), the extremely wide 90% interval (72x spread) and poor inter-model agreement (0.44) indicate high forecast instability for danskvand over the next month. **Recommendation:** Do not use this forecast for firm procurement decisions; prioritize reviewing underlying demand signals, checking for data anomalies or missing seasonality drivers, and consider a conservative stock position closer to the lower bound until model alignment improves.",Forecast for danskvand: 21658 units (90% range 2547–184093); model confidence 43% (Moderate).
danskvand,27297.0,40.6,Moderate,"**Forecast Range: 3,210 – 232,024 units | Confidence: LOW**

The ensemble forecast of ~27,300 units carries effectively **low confidence** despite the moderate score (41/100), as the extreme 90% interval spanning nearly 229,000 units and poor inter-model agreement (0.38) signal high model disagreement — treat the point estimate with caution. Recommend holding a **conservative base order aligned closer to the lower bound**, while securing flexible supplier capacity or a contingency replenishment agreement to cover upside demand, and **flagging this SKU for manual review** with additional demand signals (e.g., promotional calendar, seasonal trends, competitor activity) before committing to a fixed order.",Forecast for danskvand: 27297 units (90% range 3210–232024); model confidence 41% (Moderate).
danskvand,774.0,54.4,Moderate,"**Recommendation:** Order to cover a forecast of **774 units**, but plan for a wide demand range of **90–6,578 units**, reflecting high volatility in this category. Confidence is **Moderate (54/100)** — while inter-model agreement is reasonably strong (0.83), the extremely wide prediction interval signals structural uncertainty (e.g., seasonal spikes, promotional sensitivity, or thin historical data) that models cannot resolve. ⚠️ **Flag:** Given the ~73x spread between lower and upper bounds, avoid a single fixed order; consider a phased replenishment approach or securing flexible supplier capacity to respond if demand trends toward the upper range.",Forecast for danskvand: 774 units (90% range 90–6578); model confidence 54% (Moderate).
danskvand,78047.2,40.7,Moderate,"**Forecast Range:** 9,181 – 663,400 units (point estimate: 78,047) | **Confidence: LOW** — despite the Moderate label, an inter-model agreement of 0.38 and an interval spanning ~65x the lower bound indicate severe model disagreement and effectively unusable precision. **Recommendation:** Do not use this forecast for procurement decisions as-is; flag for immediate review — investigate data quality, seasonality anomalies, or structural breaks driving model divergence before committing to any stock position for danskvand this month.",Forecast for danskvand: 78047 units (90% range 9181–663400); model confidence 41% (Moderate).
danskvand,1125.7,52.1,Moderate,"**Forecast Range: 131 – 9,568 units | Confidence: Moderate (52/100)**

The ensemble points to **1,126 units** for danskvand over the next month, but the extremely wide 90% interval (131–9,568) signals high demand volatility and limited predictive precision — plan inventory conservatively to avoid overstock risk while securing a flexible replenishment buffer. Confidence is **Moderate** driven by reasonable inter-model agreement (0.76), but the interval spread warrants caution; recommend staging orders in shorter cycles rather than committing to a full-month buy upfront. ⚠️ **Flag:** The 73x spread between lower and upper bounds is unusually large — validate against any known promotional activity, seasonality drivers, or data quality issues before acting on this forecast.",Forecast for danskvand: 1126 units (90% range 131–9568); model confidence 52% (Moderate).
danskvand,53948.4,57.5,Moderate,"**Forecast Range:** 6,346 – 458,560 units (point estimate: 53,948) | **Confidence: Low-to-Moderate (58/100)**

Despite strong inter-model agreement (0.94), the extremely wide 90% prediction interval — spanning roughly 70x from lower to upper bound — signals high structural uncertainty in the underlying demand signal for danskvand this month; treat the point estimate with caution. Plan inventory defensively around the lower-to-mid range while securing flexible replenishment options to cover upside demand without overcommitting working capital. **Flag for review:** the interval width warrants investigation into potential data quality issues, seasonality anomalies, or promotional events not yet captured in the model inputs before placing firm orders.",Forecast for danskvand: 53948 units (90% range 6346–458560); model confidence 58% (Moderate).
danskvand,11250.3,52.6,Moderate,"**Recommendation:** The ensemble forecast for danskvand over the next month is **11,250 units**, but the extremely wide 90% confidence interval (**1,323 – 95,627 units**) signals very high demand uncertainty and should not be used for precise inventory planning without further investigation. Confidence is rated **Moderate (53/100)** — while inter-model agreement is reasonable (0.78), the interval spread suggests high underlying demand volatility or insufficient historical signal. **Flag for review:** validate against recent sales trends, promotional calendars, and seasonal drivers before committing to procurement or stock targets.",Forecast for danskvand: 11250 units (90% range 1323–95627); model confidence 53% (Moderate).
danskvand,395.5,57.2,Moderate,"**Forecast:** 396 units (range: 46–3,360 units) | **Confidence: Moderate (57/100)**

Despite strong inter-model agreement (0.93), the extremely wide 90% prediction interval (46–3,360 units) signals high underlying demand volatility for danskvand this month, warranting caution. Plan procurement around the 396-unit point estimate but ensure supply chain flexibility to scale up toward ~3,360 units if demand signals strengthen (e.g., warm weather, promotional uplift). **Flag:** The interval width (~3,300 units) is unusually large — validate against any known seasonality, planned promotions, or data anomalies before committing to a fixed order.",Forecast for danskvand: 396 units (90% range 46–3360); model confidence 57% (Moderate).
danskvand,78.7,29.4,Low,"**Recommendation:** The ensemble forecast for danskvand over the next month is **79 units**, but the 90% prediction interval spans an extremely wide range of **8–668 units**, and confidence is **Low (29/100)** due to zero inter-model agreement — models are producing fundamentally divergent signals. **Do not rely on this forecast for procurement decisions**; instead, prioritize recent sell-through data, supplier lead times, and apply a conservative safety stock approach until model alignment improves.",Forecast for danskvand: 79 units (90% range 8–668); model confidence 29% (Low).
danskvand,41013.9,42.7,Moderate,"**Recommendation:** The ensemble forecast for danskvand over the next month is **41,014 units**, but the 90% prediction interval is extremely wide (**4,824 – 348,617 units**), signaling very high uncertainty. Confidence is rated **Low** (43/100) despite the ""Moderate"" label, driven by poor inter-model agreement (0.45), meaning the underlying models diverge substantially on the demand outlook. ⚠️ **Flag:** Do not use the point forecast for procurement decisions at this time — recommend reviewing input data quality, checking for anomalies or missing demand signals, and applying manual judgment or a conservative stocking position until model alignment improves.",Forecast for danskvand: 41014 units (90% range 4824–348617); model confidence 43% (Moderate).
danskvand,151023.5,54.5,Moderate,"**Recommendation:**
Order to a baseline of ~151,000 units, but the extremely wide 90% interval (17,800–1,283,700 units) signals high forecast volatility that warrants caution despite moderate inter-model agreement (0.84). Confidence is rated **Moderate (54/100)** primarily due to this interval spread, which likely reflects seasonal or promotional uncertainty in the danskvand category — flag this for review before committing to large purchase orders. Consider a phased procurement approach: secure a conservative initial volume closer to the lower bound and maintain supplier flexibility to scale up rapidly if early-month sell-through data supports it.",Forecast for danskvand: 151024 units (90% range 17766–1283699); model confidence 54% (Moderate).
danskvand,6.2,29.4,Low,"**Forecast Range:** 0–52 units | **Confidence: Low**

Models show zero agreement on danskvand demand over the next month, yielding an extremely wide interval (0–52 units) that offers little practical planning value. **Flag for review:** do not rely on this forecast for procurement decisions — validate against recent sales history, promotional plans, or supplier lead times before committing to stock levels.",Forecast for danskvand: 6 units (90% range -0–52); model confidence 29% (Low).
danskvand,26577.0,43.0,Moderate,"**Forecast Range:** 3,126 – 225,903 units (point estimate: 26,577) | **Confidence: Low** — despite the moderate calibration score (43/100), the 90% prediction interval spans nearly 70x the point estimate, indicating severe model disagreement (inter-model agreement: 0.45) and highly unreliable signal for danskvand over the next month. **Action:** Do not use this forecast for procurement decisions without first investigating root causes of model divergence (e.g., missing seasonality drivers, promotional data gaps, or data quality issues); consider a manual review anchored to recent actuals and any known demand events before committing to stock levels.",Forecast for danskvand: 26577 units (90% range 3126–225903); model confidence 43% (Moderate).
energidrikke,4248.6,57.5,Moderate,"**Recommendation:** Order within the forecast range of **792–22,770 units**, with a point estimate of ~4,250 units, but treat this estimate with caution given the exceptionally wide interval signals high demand volatility for energidrikke over the next month. Confidence is **Moderate (58/100)**—while inter-model agreement is reasonably strong (0.81), the near 30x spread between lower and upper bounds suggests underlying demand drivers (promotions, seasonality, distribution changes) are not well-captured by current models. **Flag for review:** validate against any known upcoming events, promotional activity, or ranging changes before committing to a replenishment order, and consider a phased ordering approach to limit overstock risk.",Forecast for energidrikke: 4249 units (90% range 792–22770); model confidence 58% (Moderate).
energidrikke,2928.7,60.0,Moderate,"**Recommendation:**
Order to cover a baseline of ~2,900 units, but the extremely wide forecast range (545–15,696 units) signals high demand volatility — plan for flexible replenishment rather than a single large commit. Confidence is **Moderate (60/100)**; despite strong inter-model agreement (0.90), the interval width itself is the key uncertainty driver, likely reflecting seasonal or promotional variability in the energy drinks category. **Flag for review:** align with any planned promotions, shelf expansions, or competitor activity before finalising the order to avoid either significant stockout or overstock risk.",Forecast for energidrikke: 2929 units (90% range 545–15696); model confidence 60% (Moderate).
energidrikke,122.5,33.2,Low,"**Recommendation:** The ensemble forecast points to **122 units**, but the 90% prediction interval spans an extremely wide **22–656 units**, and confidence is **Low (33/100)** driven by zero inter-model agreement — meaning the underlying models are in complete disagreement on direction and magnitude. **Do not use this forecast to drive procurement or inventory decisions without first investigating the root cause** (e.g., missing historical data, new product, data quality issues); consider a manual review or holding safety stock at the lower bound until a reliable signal emerges.",Forecast for energidrikke: 122 units (90% range 22–656); model confidence 33% (Low).
energidrikke,193.8,33.2,Low,"**Recommendation:** The ensemble forecast for energidrikke is **194 units**, but the 90% prediction interval spans an extremely wide range of **35–1,038 units**, and confidence is **Low (33/100)** due to zero inter-model agreement — models are producing fundamentally divergent signals. **Do not use this forecast for procurement decisions without first investigating the root cause** (e.g., data quality issues, structural breaks, or missing demand signals); consider holding safety stock at the lower bound and escalating for manual review before committing to orders.",Forecast for energidrikke: 194 units (90% range 35–1038); model confidence 33% (Low).
